URI,Label,
http://collection.britishmuseum.org/id/thesauri/script/latin,Latin,
http://collection.britishmuseum.org/id/thesauri/script/latin-greek,Latin & Greek,
http://collection.britishmuseum.org/id/thesauri/script/latin,Latin ?,
http://collection.britishmuseum.org/id/thesauri/script/latin-alphabet,Latin alphabet,
http://collection.britishmuseum.org/id/thesauri/script/latin-and-nasta-liq,Latin and Nasta'liq,
http://collection.britishmuseum.org/id/thesauri/script/latin-and-demotic,Latin and demotic,
http://collection.britishmuseum.org/id/thesauri/script/latin/runic,Latin/Runic,
http://collection.britishmuseum.org/id/thesauri/script/lation-alphabet,Lation alphabet,
http://collection.britishmuseum.org/id/thesauri/script/linear-a,Linear A,
http://collection.britishmuseum.org/id/thesauri/script/linear-b,Linear B,
http://collection.britishmuseum.org/id/thesauri/script/linear-b,Linear B (?),
http://collection.britishmuseum.org/id/thesauri/script/lobardic,Lobardic,
http://collection.britishmuseum.org/id/thesauri/script/locrian,Locrian,
http://collection.britishmuseum.org/id/thesauri/script/lombardic,Lombardic,
http://collection.britishmuseum.org/id/thesauri/script/lombardic-script,Lombardic script,
http://collection.britishmuseum.org/id/thesauri/script/lombaric,Lombaric,
http://collection.britishmuseum.org/id/thesauri/script/lomdardic,Lomdardic,
http://collection.britishmuseum.org/id/thesauri/script/lycian,Lycian,
http://collection.britishmuseum.org/id/thesauri/script/lykian,Lykian,
http://collection.britishmuseum.org/id/thesauri/script/maghribi,Maghribi,
http://collection.britishmuseum.org/id/thesauri/script/malay,Malay,
http://collection.britishmuseum.org/id/thesauri/script/manchu,Manchu,
http://collection.britishmuseum.org/id/thesauri/script/manchu-chinese,Manchu & Chinese,
http://collection.britishmuseum.org/id/thesauri/script/manchu-and-chinese,Manchu and Chinese,
http://collection.britishmuseum.org/id/thesauri/script/manchurian,Manchurian,
http://collection.britishmuseum.org/id/thesauri/script/marathi,Marathi?,
http://collection.britishmuseum.org/id/thesauri/script/maya-hieroglyph,Maya hieroglyph,
http://collection.britishmuseum.org/id/thesauri/script/maya-hieroglyphs,Maya hieroglyphs,
http://collection.britishmuseum.org/id/thesauri/script/meroitic,Meroitic,
http://collection.britishmuseum.org/id/thesauri/script/metal-stamped,Metal stamped,
http://collection.britishmuseum.org/id/thesauri/script/middle-persian,Middle Persian,
http://collection.britishmuseum.org/id/thesauri/script/millward,Millward,
http://collection.britishmuseum.org/id/thesauri/script/mixed-style,Mixed style,
http://collection.britishmuseum.org/id/thesauri/script/modified-lombardic,Modified Lombardic,
http://collection.britishmuseum.org/id/thesauri/script/mon,Mon?,
http://collection.britishmuseum.org/id/thesauri/script/muhaqqaq,Muhaqqaq,
http://collection.britishmuseum.org/id/thesauri/script/mu-aqqaq,Mu?aqqaq,
http://collection.britishmuseum.org/id/thesauri/script/nabataean,Nabataean,
http://collection.britishmuseum.org/id/thesauri/script/nagari,Nagari,
http://collection.britishmuseum.org/id/thesauri/script/nagari-and-english,Nagari and English,
http://collection.britishmuseum.org/id/thesauri/script/nagari-and-persian,Nagari and Persian,
http://collection.britishmuseum.org/id/thesauri/script/nagari-and-urdu-persian,Nagari and urdu (persian),
http://collection.britishmuseum.org/id/thesauri/script/nagri,Nagri,
http://collection.britishmuseum.org/id/thesauri/script/naskh,Naskh,
http://collection.britishmuseum.org/id/thesauri/script/naskh-and-nastaliq-devanagiri,"Naskh and Nastaliq, Devanagiri",
http://collection.britishmuseum.org/id/thesauri/script/naskh,Naskh(?),
http://collection.britishmuseum.org/id/thesauri/script/naskhi,Naskhi,
http://collection.britishmuseum.org/id/thesauri/script/naskh-thuluth,Naskh,Thuluth
http://collection.britishmuseum.org/id/thesauri/script/naskh,Naskhí,
http://collection.britishmuseum.org/id/thesauri/script/naskh-thuluth,Naskhí,Thuluth
http://collection.britishmuseum.org/id/thesauri/script/nast-aliq,Nast'aliq,
http://collection.britishmuseum.org/id/thesauri/script/nasta-liq,Nasta'liq,
http://collection.britishmuseum.org/id/thesauri/script/nasta-liq-and-thuluth,Nasta'liq and Thuluth,
http://collection.britishmuseum.org/id/thesauri/script/nastal-q,Nasta<l?q,
http://collection.britishmuseum.org/id/thesauri/script/nasta-liq,Nasta`liq,
http://collection.britishmuseum.org/id/thesauri/script/nasta-l-q,Nasta`l?q,
http://collection.britishmuseum.org/id/thesauri/script/nastal-iq,Nastal'iq,
http://collection.britishmuseum.org/id/thesauri/script/nastaliq,Nastaliq,
http://collection.britishmuseum.org/id/thesauri/script/nastal-q,Nastalíq,
http://collection.britishmuseum.org/id/thesauri/script/nasta-l-q,Nasta?l?q,
http://collection.britishmuseum.org/id/thesauri/script/nasta-liq,Nasta?liq,
http://collection.britishmuseum.org/id/thesauri/script/nasta-l-q,Nasta?líq,
http://collection.britishmuseum.org/id/thesauri/script/nasta-l-q,Nasta?l?q,
http://collection.britishmuseum.org/id/thesauri/script/nasta-liq,Nasta‘liq,
http://collection.britishmuseum.org/id/thesauri/script/nasta-liq-close-to-shikasta,Nasta‘liq close to Shikasta,
http://collection.britishmuseum.org/id/thesauri/script/nasta-liq-close-to-shikasteh,Nasta‘liq close to shikasteh,
http://collection.britishmuseum.org/id/thesauri/script/nasta-l-q,Nasta‘l?q,
http://collection.britishmuseum.org/id/thesauri/script/nasx,Nasxí,
http://collection.britishmuseum.org/id/thesauri/script/nat-aliq,Nat'aliq,
http://collection.britishmuseum.org/id/thesauri/script/negari,Negari,
http://collection.britishmuseum.org/id/thesauri/script/nepal,Nepal,
http://collection.britishmuseum.org/id/thesauri/script/neshki-script,Neshki script,
http://collection.britishmuseum.org/id/thesauri/script/new-roman-cursive,New Roman Cursive,
http://collection.britishmuseum.org/id/thesauri/script/newari,Newari,
http://collection.britishmuseum.org/id/thesauri/script/no-legend-visible,No legend visible.,
http://collection.britishmuseum.org/id/thesauri/script/northern-thai,Northern Thai,
http://collection.britishmuseum.org/id/thesauri/script/n-gar,N?gar?,
http://collection.britishmuseum.org/id/thesauri/script/n-gar-early,N?gar? (early),
http://collection.britishmuseum.org/id/thesauri/script/ogam,Ogam,
